iter	CrossEntropy
0	0.6573989328
1	0.6248828001
2	0.5953629765
3	0.5690172651
4	0.5436686084
5	0.5211730567
6	0.4986061885
7	0.4753665578
8	0.4583441965
9	0.4487760199
10	0.4298642243
11	0.4136132666
12	0.4006429258
13	0.3904283027
14	0.378715163
15	0.368496535
16	0.3560440148
17	0.3505554211
18	0.3415392687
19	0.3285650701
20	0.3249495162
21	0.3159114792
22	0.3082940061
23	0.3036814693
24	0.2916939844
25	0.2842528113
26	0.2777903881
27	0.2742520905
28	0.2682370657
29	0.2620203065
30	0.2575376372
31	0.2547009119
32	0.2503631468
33	0.246557684
34	0.2429007566
35	0.2407281035
36	0.238280765
37	0.2352818535
38	0.2320837849
39	0.2271096069
40	0.2256352216
41	0.224721986
42	0.2228077372
43	0.2205867386
44	0.2180620807
45	0.2157478351
46	0.213166837
47	0.2110220335
48	0.2098273737
49	0.2072487321
50	0.2045594401
51	0.2018307044
52	0.2003887116
53	0.1998388711
54	0.1979733332
55	0.1962808954
56	0.194950825
57	0.1932902033
58	0.1919645087
59	0.1886570245
60	0.187652357
61	0.1864804799
62	0.1850717634
63	0.1834098942
64	0.1829278822
65	0.180100909
66	0.1793451683
67	0.1783393789
68	0.1775335611
69	0.1754485264
70	0.1748359295
71	0.1743124597
72	0.1724521827
73	0.1712254029
74	0.1707259055
75	0.1703889697
76	0.1685912154
77	0.1678007324
78	0.16541561
79	0.1630552659
80	0.1620816556
81	0.1609124214
82	0.1597007744
83	0.1581548025
84	0.1573251789
85	0.1564168641
86	0.1553040944
87	0.1537293231
88	0.1524236735
89	0.1515657536
90	0.1506323718
91	0.1500355514
92	0.1486669276
93	0.1466358006
94	0.1453701876
95	0.1444985607
96	0.1434309103
97	0.1423550818
98	0.1412325302
99	0.1402626128
100	0.1395524316
101	0.1386244803
102	0.1377398032
103	0.1364056765
104	0.1359286365
105	0.1349481532
106	0.1342870175
107	0.1329960519
108	0.1326165535
109	0.1317525163
110	0.1310490131
111	0.1306640455
112	0.1297934356
113	0.129404548
114	0.1283413612
115	0.1276285798
116	0.1269518069
117	0.126098007
118	0.1257385262
119	0.1250013495
120	0.1246381242
121	0.1241640327
122	0.1238046882
123	0.1233651022
124	0.1228065488
125	0.121681485
126	0.1210566427
127	0.1202055115
128	0.1193861144
129	0.1187513841
130	0.1182947921
131	0.1179349064
132	0.1177911514
133	0.1172901209
