iter	Passed	Remaining
0	18	18535
1	31	15946
2	43	14578
3	54	13465
4	62	12468
5	69	11511
6	77	10971
7	84	10469
8	91	10097
9	98	9743
10	105	9463
11	111	9218
12	119	9042
13	126	8891
14	132	8723
15	140	8638
16	146	8499
17	153	8378
18	160	8279
19	166	8172
20	174	8134
21	181	8062
22	188	8012
23	195	7941
24	202	7883
25	209	7833
26	215	7778
27	224	7799
28	232	7777
29	239	7751
30	246	7703
31	253	7670
32	260	7623
33	266	7585
34	274	7555
35	280	7517
36	288	7501
37	294	7463
38	302	7461
39	309	7433
40	316	7407
41	323	7380
42	330	7355
43	338	7352
44	345	7337
45	353	7338
46	361	7320
47	369	7320
48	375	7290
49	382	7266
50	389	7249
51	396	7221
52	403	7212
53	410	7190
54	418	7184
55	425	7174
56	433	7178
57	442	7185
58	451	7195
59	460	7207
60	469	7222
61	477	7218
62	485	7222
63	493	7216
64	501	7217
65	509	7206
66	517	7205
67	525	7197
68	533	7197
69	541	7196
70	550	7198
71	558	7195
72	567	7203
73	575	7202
74	583	7199
75	590	7184
76	599	7189
77	607	7179
78	615	7180
79	623	7172
80	631	7169
81	639	7159
82	648	7161
83	656	7156
84	665	7159
85	673	7153
86	681	7154
87	690	7155
88	699	7155
89	706	7142
90	713	7131
91	721	7118
92	729	7114
93	736	7101
94	745	7099
95	753	7097
96	762	7098
97	771	7098
98	780	7099
99	787	7088
100	796	7091
101	804	7082
102	813	7083
103	821	7073
104	829	7067
105	840	7084
106	848	7078
107	856	7075
108	865	7075
109	874	7078
110	883	7074
111	892	7079
112	901	7074
113	909	7068
114	916	7056
115	925	7049
116	932	7037
117	940	7031
118	948	7021
119	956	7016
120	964	7008
121	973	7004
122	981	6997
123	990	6995
124	997	6983
125	1006	6979
126	1013	6969
127	1022	6966
128	1030	6955
129	1038	6951
130	1046	6940
131	1054	6932
132	1061	6921
133	1070	6916
134	1078	6910
135	1087	6908
136	1095	6900
137	1104	6897
138	1112	6892
139	1121	6889
140	1129	6883
141	1138	6876
142	1145	6864
143	1153	6857
144	1161	6846
145	1170	6847
146	1178	6837
147	1187	6835
148	1196	6833
149	1205	6832
150	1214	6827
151	1222	6818
152	1230	6814
153	1239	6807
154	1246	6792
155	1253	6784
156	1260	6767
157	1267	6757
158	1274	6741
159	1282	6732
160	1288	6716
161	1295	6702
162	1302	6689
163	1309	6675
164	1316	6662
165	1322	6646
166	1330	6636
167	1336	6620
168	1344	6608
169	1350	6593
170	1357	6580
171	1364	6569
172	1371	6553
173	1378	6544
174	1385	6531
175	1391	6516
176	1398	6503
177	1405	6489
178	1412	6478
179	1418	6464
180	1426	6454
181	1433	6444
182	1440	6432
183	1447	6420
184	1455	6410
185	1462	6400
186	1469	6387
187	1476	6379
188	1483	6366
189	1490	6354
190	1497	6343
191	1504	6331
192	1511	6321
193	1518	6309
194	1526	6299
195	1532	6285
196	1539	6273
197	1545	6261
198	1552	6248
199	1559	6238
200	1566	6227
201	1574	6220
202	1581	6207
203	1588	6198
204	1595	6187
205	1602	6177
206	1610	6168
207	1616	6156
208	1625	6151
209	1632	6139
210	1640	6133
211	1647	6122
212	1654	6113
213	1661	6101
214	1668	6090
215	1675	6082
216	1682	6071
217	1690	6063
218	1697	6052
219	1704	6043
220	1711	6034
221	1720	6027
222	1727	6018
223	1734	6008
224	1741	5999
225	1748	5989
226	1756	5982
227	1765	5977
228	1774	5974
229	1783	5971
230	1793	5970
231	1802	5966
232	1811	5963
233	1822	5964
234	1830	5957
235	1841	5961
236	1850	5956
237	1859	5954
238	1870	5954
239	1878	5947
240	1889	5951
241	1898	5946
242	1908	5945
243	1919	5947
244	1927	5939
245	1936	5935
246	1943	5924
247	1951	5917
248	1957	5905
249	1966	5899
250	1974	5893
251	1982	5885
252	1989	5874
253	1997	5866
254	2004	5857
255	2013	5852
256	2020	5842
257	2029	5836
258	2036	5825
259	2043	5815
260	2050	5807
261	2059	5801
262	2067	5793
263	2075	5785
264	2082	5777
265	2090	5767
266	2097	5757
267	2104	5748
268	2111	5739
269	2120	5732
270	2130	5732
271	2138	5722
272	2145	5714
273	2154	5708
274	2161	5699
275	2168	5689
276	2175	5679
277	2182	5668
278	2189	5658
279	2196	5648
280	2203	5638
281	2210	5628
282	2218	5620
283	2225	5611
284	2233	5602
285	2240	5594
286	2248	5585
287	2255	5577
288	2262	5566
289	2269	5556
290	2276	5546
291	2282	5535
292	2290	5527
293	2298	5518
294	2306	5512
295	2314	5504
296	2321	5495
297	2328	5486
298	2336	5477
299	2343	5468
300	2350	5458
301	2357	5448
302	2364	5438
303	2371	5429
304	2377	5418
305	2384	5409
306	2391	5399
307	2399	5390
308	2406	5381
309	2413	5371
310	2421	5363
311	2428	5354
312	2436	5346
313	2442	5336
314	2449	5326
315	2456	5317
316	2463	5308
317	2470	5298
318	2477	5288
319	2484	5280
320	2491	5271
321	2499	5263
322	2506	5254
323	2514	5246
324	2521	5237
325	2529	5228
326	2536	5219
327	2542	5209
328	2550	5200
329	2557	5192
330	2564	5183
331	2571	5174
332	2578	5165
333	2585	5154
334	2591	5144
335	2599	5137
336	2606	5127
337	2614	5120
338	2621	5111
339	2629	5103
340	2636	5095
341	2643	5086
342	2650	5077
343	2657	5068
344	2664	5059
345	2671	5049
346	2679	5042
347	2686	5032
348	2692	5023
349	2700	5014
350	2707	5005
351	2714	4997
352	2722	4989
353	2729	4981
354	2737	4972
355	2745	4966
356	2752	4957
357	2760	4951
358	2767	4941
359	2775	4933
360	2783	4926
361	2790	4918
362	2798	4911
363	2805	4902
364	2813	4894
365	2820	4886
366	2831	4883
367	2838	4875
368	2847	4868
369	2854	4861
370	2862	4853
371	2869	4843
372	2877	4836
373	2883	4826
374	2891	4819
375	2898	4810
376	2906	4803
377	2914	4795
378	2921	4787
379	2929	4779
380	2937	4771
381	2945	4764
382	2952	4755
383	2959	4747
384	2966	4738
385	2973	4730
386	2981	4722
387	2989	4714
388	2996	4707
389	3004	4699
390	3011	4690
391	3018	4681
392	3025	4673
393	3033	4665
394	3040	4656
395	3047	4648
396	3055	4641
397	3062	4631
398	3069	4623
399	3076	4614
400	3083	4605
401	3090	4596
